"theta1","theta2","theta3","theta4","theta5"
1e-05,1e-05,1e-05,1e-05,0.99996
0.050009,1e-05,1e-05,1e-05,0.949961
0.100008,1e-05,1e-05,1e-05,0.899962
0.150007,1e-05,1e-05,1e-05,0.849963
0.200006,1e-05,1e-05,1e-05,0.799964
0.250005,1e-05,1e-05,1e-05,0.749965
0.300004,1e-05,1e-05,1e-05,0.699966
0.350003,1e-05,1e-05,1e-05,0.649967
0.400002,1e-05,1e-05,1e-05,0.599968
0.450001,1e-05,1e-05,1e-05,0.549969
0.5,1e-05,1e-05,1e-05,0.49997
0.549999,1e-05,1e-05,1e-05,0.449971
0.599998,1e-05,1e-05,1e-05,0.399972
0.649997,1e-05,1e-05,1e-05,0.349973
0.699996,1e-05,1e-05,1e-05,0.299974
0.749995,1e-05,1e-05,1e-05,0.249975
0.799994,1e-05,1e-05,1e-05,0.199976
0.849993,1e-05,1e-05,1e-05,0.149977
0.899992,1e-05,1e-05,1e-05,0.099978
0.949991,1e-05,1e-05,1e-05,0.049979
1e-05,0.050009,1e-05,1e-05,0.949961
0.050009,0.050009,1e-05,1e-05,0.899962
0.100008,0.050009,1e-05,1e-05,0.849963
0.150007,0.050009,1e-05,1e-05,0.799964
0.200006,0.050009,1e-05,1e-05,0.749965
0.250005,0.050009,1e-05,1e-05,0.699966
0.300004,0.050009,1e-05,1e-05,0.649967
0.350003,0.050009,1e-05,1e-05,0.599968
0.400002,0.050009,1e-05,1e-05,0.549969
0.450001,0.050009,1e-05,1e-05,0.49997
0.5,0.050009,1e-05,1e-05,0.449971
0.549999,0.050009,1e-05,1e-05,0.399972
0.599998,0.050009,1e-05,1e-05,0.349973
0.649997,0.050009,1e-05,1e-05,0.299974
0.699996,0.050009,1e-05,1e-05,0.249975
0.749995,0.050009,1e-05,1e-05,0.199976
0.799994,0.050009,1e-05,1e-05,0.149977
0.849993,0.050009,1e-05,1e-05,0.099978
0.899992,0.050009,1e-05,1e-05,0.049979
1e-05,0.100008,1e-05,1e-05,0.899962
0.050009,0.100008,1e-05,1e-05,0.849963
0.100008,0.100008,1e-05,1e-05,0.799964
0.150007,0.100008,1e-05,1e-05,0.749965
0.200006,0.100008,1e-05,1e-05,0.699966
0.250005,0.100008,1e-05,1e-05,0.649967
0.300004,0.100008,1e-05,1e-05,0.599968
0.350003,0.100008,1e-05,1e-05,0.549969
0.400002,0.100008,1e-05,1e-05,0.49997
0.450001,0.100008,1e-05,1e-05,0.449971
0.5,0.100008,1e-05,1e-05,0.399972
0.549999,0.100008,1e-05,1e-05,0.349973
0.599998,0.100008,1e-05,1e-05,0.299974
0.649997,0.100008,1e-05,1e-05,0.249975
0.699996,0.100008,1e-05,1e-05,0.199976
0.749995,0.100008,1e-05,1e-05,0.149977
0.799994,0.100008,1e-05,1e-05,0.099978
0.849993,0.100008,1e-05,1e-05,0.049979
1e-05,0.150007,1e-05,1e-05,0.849963
0.050009,0.150007,1e-05,1e-05,0.799964
0.100008,0.150007,1e-05,1e-05,0.749965
0.150007,0.150007,1e-05,1e-05,0.699966
0.200006,0.150007,1e-05,1e-05,0.649967
0.250005,0.150007,1e-05,1e-05,0.599968
0.300004,0.150007,1e-05,1e-05,0.549969
0.350003,0.150007,1e-05,1e-05,0.49997
0.400002,0.150007,1e-05,1e-05,0.449971
0.450001,0.150007,1e-05,1e-05,0.399972
0.5,0.150007,1e-05,1e-05,0.349973
0.549999,0.150007,1e-05,1e-05,0.299974
0.599998,0.150007,1e-05,1e-05,0.249975
0.649997,0.150007,1e-05,1e-05,0.199976
0.699996,0.150007,1e-05,1e-05,0.149977
0.749995,0.150007,1e-05,1e-05,0.099978
0.799994,0.150007,1e-05,1e-05,0.049979
1e-05,0.200006,1e-05,1e-05,0.799964
0.050009,0.200006,1e-05,1e-05,0.749965
0.100008,0.200006,1e-05,1e-05,0.699966
0.150007,0.200006,1e-05,1e-05,0.649967
0.200006,0.200006,1e-05,1e-05,0.599968
0.250005,0.200006,1e-05,1e-05,0.549969
0.300004,0.200006,1e-05,1e-05,0.49997
